title,tags
You've Got Mail,"Book superstore magnate, Joe Fox and independent book shop owner, Kathleen Kelly fall in love in the anonymity of the Internet – both blissfully unaware that he's putting her out of business. Comedy Romance romantic_comedy online_dating woman_director Tom_Hanks Meg_Ryan Katie_Sagona Greg_Kinnear Parker_Posey Jean_Stapleton Steve_Zahn Heather_Burns Dabney_Coleman Hallee_Hirsh Dave_Chappelle John_Randolph Cara_Seymour Deborah_Rush Sara_Ramirez Chris_Messina Nora_Ephron"
Step Brothers,"Brennan Huff and Dale Doback might be grown men. But that doesn't stop them from living at home and turning into jealous, competitive stepbrothers when their single parents marry. Brennan's constant competition with Dale strains his mom's marriage to Dale's dad, leaving everyone to wonder whether they'll ever see eye to eye. Comedy becoming_an_adult autonomy childhood_trauma hostility step_brother slacker man_child aftercreditsstinger duringcreditsstinger Will_Ferrell John_C._Reilly Mary_Steenburgen Richard_Jenkins Adam_Scott Kathryn_Hahn Andrea_Savage Rob_Riggle Seth_Rogen Logan_Manus Lurie_Poston Shira_Piven Wayne_Federman Krystal_Ellsworth Matt_Walsh Ken_Jeong Adam_McKay"
The Mask of Zorro,"It has been twenty years since Don Diego de la Vega fought Spanish oppression in Alta California as the legendary romantic hero, Zorro. Having escaped from prison he transforms troubled bandit Alejandro into his successor, in order to foil the plans of the tyrannical Don Rafael Montero who robbed him of his freedom, his wife and his precious daughter. Action Adventure california spy hero horseback_riding sword_fight revenge Antonio_Banderas Anthony_Hopkins Catherine_Zeta-Jones Stuart_Wilson Diego_Sieres José_María_de_Tavira Emiliano_Guerra Yolanda_Orisaga Paco_Morayta William_Marquez Tony_Amendola Pedro_Altamirano Luisa_Huertas María_Fernández_Cruz Julieta_Rosen Raúl_Martínez Victor_Rivers L.Q._Jones José_Pérez Tony_Cabral Tony_Genaro Iván_Rafael David_Villalpando Mónica_Fernández_Cruz Martin_Campbell"
Due Date,"Peter Highman must scramble across the US in five days to be present for the birth of his first child. He gets off to a bad start when his wallet and luggage are stolen, and put on the 'no-fly' list. Peter embarks on a terrifying journey when he accepts a ride from an actor. Comedy Drama highway slacker hitchhiker wallet sunglasses rest_stop vicodin waffle Robert_Downey_Jr. Zach_Galifianakis Michelle_Monaghan Jamie_Foxx Juliette_Lewis Danny_McBride RZA Matt_Walsh Brody_Stevens Jakob_Ulrich Naiia_Ulrich Todd_Phillips Bobby_Tisdale Nathalie_Fay Sharon_Conley Keegan-Michael_Key Paul_Renteria Charlie_Sheen Todd_Phillips"
Unbroken,"A chronicle of the life of Louis Zamperini, an Olympic runner who was taken prisoner by Japanese forces during World War II. Drama War world_war_ii prisoners_of_war biography sport war athlete woman_director olympic_athlete Jack_O'Connell Domhnall_Gleeson Garrett_Hedlund Miyavi Finn_Wittrock Jai_Courtney Maddalena_Ischiale Vincenzo_Amato John_Magaro Luke_Treadaway Louis_McIntosh Ross_Anderson C.J._Valleroy John_D'Leo Alex_Russell Jordan_Patrick_Smith Spencer_Lofranco Stephen_J._Douglas Marcus_Vanco Dylan_James_Watson Ryan_Ahern Ross_Langley Michael_Whalley Sophie_Dalah Morgan_Griffin Sean_O'Donnell Savannah_Lamble Travis_Jeffery James_McEnery Stephen_Stanton Talia_Mano Yutaka_Izumihara Hisa_Goto Hiroshi_Kasuga Akira_Fujii Chris_Proctor Shinji_Ikefuji Brodie_Henson Shingo_Usami Stefan_Mogel Clay_Zamperini Jess_Terrell Sean-Ryan_Petersen Toby_Fuller Conor_Fogarty Jack_Marshall Taki_Abe Keiichi_Enomoto Taka_Uematsu Yoji_Tatsuta John_Michael_Burdon Ben_Rossberg Sean_Edward_Frazer Yoshinao_Aonuma James_Storer Joel_Knights Kristopher_Bos Katsu_Nojiri Matt_Hurley Shane_Leckenby Connor_Clarke Steven_Carnuccio Matthew_Crocker Connor_Zegenhagen Nicholas_Farris Sarah_Alison Mathew_Hislop Matthew_McConnell Dougal_Walker Jack_Alcock Darren_Wyer Andy_de_Lore Mitch_Christen Matt_Clayton Graeme_Ford Darren_Gallagher Kent_Lee Beau_Paley Craig_Walker Angelina_Jolie"
Space Cowboys,"Frank Corvin, ‘Hawk’ Hawkins, Jerry O'Neill and ‘Tank’ Sullivan were hotdog members of Project Daedalus, the Air Force's test program for space travel, but their hopes were dashed in 1958 with the formation of NASA and the use of trained chimps. They blackmail their way into orbit when Russia's mysterious ‘Ikon’ communications satellite's orbit begins to degrade and threatens to crash to Earth. Action Adventure Thriller nasa space_travel astronaut elderly Clint_Eastwood Tommy_Lee_Jones Donald_Sutherland James_Garner James_Cromwell Marcia_Gay_Harden William_Devane Loren_Dean Courtney_B._Vance Barbara_Babcock Rade_Serbedzija Blair_Brown James_MacDonald Jon_Hamm Toby_Stephens Anne_Stedman Clint_Eastwood"
Cliffhanger,"A year after losing his friend in a tragic 4,000-foot fall, former ranger Gabe Walker and his partner, Hal, are called to return to the same peak to rescue a group of stranded climbers, only to learn the climbers are actually thieving hijackers who are looking for boxes full of money. Action Adventure Thriller rocky_mountains airplane hijacking suitcase climbing heist money snow mountain_climbing mountain Sylvester_Stallone John_Lithgow Michael_Rooker Janine_Turner Rex_Linn Caroline_Goodall Leon_Robinson Craig_Fairbrass Gregory_Scott_Cummins Denis_Forest Michelle_Joyner Max_Perlich Ralph_Waite Paul_Winfield Trey_Brownell Renny_Harlin"
Broken Arrow,"When rogue stealth-fighter pilot Vic Deakins deliberately drops off the radar while on maneuvers, the Air Force ends up with two stolen nuclear warheads -- and Deakins's co-pilot, Riley Hale, is the military's only hope for getting them back. Traversing the deserted canyons of Utah, Hale teams with park ranger Terry Carmichael to put Deakins back in his box. Action Adventure Drama Thriller helicopter river captain underground mexican_standoff countdown pilot fistfight canyon major betrayal gunfight train explosion park_ranger desert military nuclear_device boxing stealth_aircraft abandoned_mine humvee John_Travolta Christian_Slater Samantha_Mathis Delroy_Lindo Bob_Gunton Frank_Whaley Howie_Long Vondie_Curtis-Hall Jack_Thompson Vyto_Ruginis Ousaun_Elam Shaun_Toub Casey_Biggs Jeffrey_J._Stephen Joey_Box John_Woo"
The Kid,"Powerful businessman Russ Duritz is self-absorbed and immersed in his work. But by the magic of the moon, he meets Rusty, a chubby, charming 8-year-old version of himself who can't believe he could turn out so badly -- with no life and no dog. With Rusty's help, Russ is able to reconcile the person he used to dream of being with the man he's actually become. Fantasy Comedy Family age_difference midlife_crisis suppressed_past self-awareness childhood_memory humor changing_the_past_or_future Bruce_Willis Spencer_Breslin Emily_Mortimer Lily_Tomlin Chi_McBride Jean_Smart Dana_Ivey Daniel_von_Bargen Stanley_Anderson Susan_Dalian Juanita_Moore Melissa_McCarthy Esther_Scott Deborah_May Vernee_Watson-Johnson Jan_Hoag Elizabeth_Arlen Alexandra_Barreto John_Apicella Brian_McGregor Reiley_McClendon Brian_Tibbetts Brian_McLaughlin Steve_Tom Marc_Copage Rod_McLachlan Scott_Mosenson Brian_Fenwick Duke_Faeger Toshiya_Agata Joshua_Finkel Lou_Beatty_Jr. E.J._Callahan Daryl_Anderson Darrell_Foster Michael_Wajacs John_Travis Larry_King Jeri_Ryan Nick_Chinlund Stuart_Scott Rich_Eisen Kevon_Edmonds Julia_Waters Maxine_Waters_Willard Stephanie_Spruill David_C._Fisher Tanisha_Grant Molly_Marlette Paul_Moncrief Kelly_Nish Matthew_Perry Dayna_Price Travis_Rosario Luigi_Francis_Shorty_Rossi Gary_Weeks Harold_Greene Jon_Turteltaub"
World Trade Center,"On September, 11th 2001, after the terrorist attack to the World Trade Center, the building collapses over the rescue team from the Port Authority Police Department. Will Jimeno and his sergeant John McLoughlin are found alive trapped under the wreckage while the rescue teams fight to save them. Drama History Thriller terror runaway alarm_clock hero firemen fire_engine war_on_terror rescue marine hospital trapped rubble rescue_team Nicolas_Cage Maria_Bello Maggie_Gyllenhaal Michael_Peña Jay_Hernandez Danny_Nucci Michael_Shannon Dorothy_Lyman Peter_McRobbie Wass_Stevens Stephen_Dorff Frank_Whaley Stoney_Westmoreland Viola_Davis Lola_Cook Connor_Paolo Anthony_Piccininni Alexa_Gerasimovich Morgan_Flynn Armando_Riesco Jon_Bernthal Jude_Ciccolella Oliver_Stone"
Mona Lisa Smile,"The story of Katherine Ann Watson, a feminist teacher who studied at UCLA graduate school and in 1953 left her boyfriend behind in Los Angeles, California to teach at Wellesley College, a conservative women's private liberal arts college in Massachusetts, United States. Drama Romance faculty art_history rowing school_nurse femininity teacher_hero womens_issues Julia_Roberts Kirsten_Dunst Julia_Stiles Maggie_Gyllenhaal Ginnifer_Goodwin Topher_Grace Dominic_West Taylor_Roberts Juliet_Stevenson Marcia_Gay_Harden Tori_Amos Lily_Rabe Jennie_Eisenhower John_Slattery Marian_Seldes Donna_Mitchell Terence_Rigby Laura_Allen Jordan_Bridges Ebon_Moss-Bachrach Annika_Marks Krysten_Ritter Mike_Newell"
The Dictator,The heroic story of a dictator who risks his life to ensure that democracy would never come to the country he so lovingly oppressed. Comedy kurdish Sacha_Baron_Cohen Sayed_Badreya Aasif_Mandvi Megan_Fox Anna_Faris John_C._Reilly Michelle_Bergh Adeel_Akhtar Ben_Kingsley Olivia_Taylor_Dudley Jason_Mantzoukas Kathryn_Hahn Rizwan_Manji Alex_Kruz Seth_Morris Larry_Charles
Eyes Wide Shut,"After Dr. Bill Hartford's wife, Alice, admits to having sexual fantasies about a man she met, Bill becomes obsessed with having a sexual encounter. He discovers an underground sexual group and attends one of their meetings -- and quickly discovers that he is in over his head. Mystery Drama life_and_death sexual_obsession free_love heterosexual christmas_party eroticism orgy masked_ball marijuana illegal_prostitution Tom_Cruise Nicole_Kidman Madison_Eginton Jackie_Sawiris Sydney_Pollack Leslie_Lowe Peter_Benson Todd_Field Michael_Doven Sky_du_Mont Julienne_Davis Marie_Richardson Vinessa_Shaw Leelee_Sobieski Alan_Cumming Rade_Serbedzija Leon_Vitali Stanley_Kubrick"
Annie,"Ever since her parents left her as a baby, little Annie has led a hard-knock life with her calculating foster mother, Miss Hannigan. However, all that changes when hard-nosed billionaire and mayoral candidate Will Stacks takes her in on the recommendation of his advisers. Stacks believes that he's Annie's guardian angel, but the plucky youngster's confidence and sunny outlook may mean that Annie will save Will instead. Comedy Drama Family musical orphan foster_child Quvenzhané_Wallis Jamie_Foxx Rose_Byrne Cameron_Diaz Bobby_Cannavale Adewale_Akinnuoye-Agbaje David_Zayas Amanda_Troya Zoe_Margaret_Colletti Nicolette_Pierini Eden_Duncan-Smith Dorian_Missick Tracie_Thoms Mike_Birbiglia Stephanie_Kurtzuba Peter_Van_Wagner Michael_J._Fox Raushanah_Simmons Donna_Marie_Recco Mila_Kunis Ashton_Kutcher Rihanna Patricia_Clarkson Sia Bobby_Moynihan Pat_Kiernan Beth_Rowe Jill_Nocolini Brad_Bong Andrew_Fleming Jessica_Sherr Scarlett_Benchley Ray_Iannicelli Ty_Jones Victor_Cruz Taylor_Richardson Derrick_Baskin Pernell_Walker Lytle_Harper J._Kaitlin_Becker Will_Gluck"
Focus,"Nicky, a veteran con artist, takes a novice named Jess under his wing. While Nicky teaches Jess the tricks of the trade, the pair become romantically involved; but, when Jess gets uncomfortably close, Nicky ends their relationship. Three years later, Nicky is in Buenos Aires working a very dangerous scheme when Jess -- now an accomplished femme fatale -- unexpectedly shows up. Her appearance throws Nicky for a loop at a time when he cannot afford to be off his game. Romance Comedy Crime Drama seduction con_man femme_fatale deception rivalry con_artist Will_Smith Margot_Robbie Rodrigo_Santoro Robert_Taylor Gerald_McRaney Adrian_Martinez BD_Wong Brennan_Brown Dotan_Bonen Griff_Furst Stephanie_Honoré David_Stanford Dominic_Fumusa Steve_Kim Don_Yesso Nina_Leon Clay_Chamberlin Danny_Ladmirault Juan_Minujín Cacilie_Hughes Melania_Lenoir Jano_Seitun Pietro_Gian Justina_Bustos Paula_Brasca Antonella_Macchi Daniella_Short Aaron_Jay_Rome Armando_Leduc Jon_Eyez Chip_Carriere Frank_J._Monteleone Alan_Sabbagh Kate_Adair Billy_Slaughter Lindsay_Clift Brett_Baker Glenn_Ficarra"
This Means War,Two top CIA operatives wage an epic battle against one another after they discover they are dating the same woman. Action Comedy Romance love_triangle friendship dating sushi_bar exploding_airplane online_dating stable karate_class dog_shelter Reese_Witherspoon Chris_Pine Tom_Hardy Laura_Vandervoort Angela_Bassett Kasey_Ryne_Mazak Warren_Christie Natassia_Malthe Til_Schweiger Chelsea_Handler John_Paul_Ruttan Abigail_Spencer Rosemary_Harris George_Touliatos Clint_Carleton Jenny_Slate Leela_Savasta Derek_Waters Mike_Dopud Daren_A._Herbert Kevin_O'Grady Jesse_Reid Viv_Leacock Rebel_Wilson Paul_Wu Kasey_Ryne_Mazak Kevan_Ohtsji Dominique_Brownes Aleks_Paunovic Joey_Forfellow Elizabeth_Weinstein Ash_Lee Jakob_Davies Lauren_Watson Paul_Becker Louise_Hradsky Jennifer_Oleksiuk Kirstyn_Konig Daniela_Dib Stefania_Spampinato Emilie_Ullerup Tyrell_Witherspoon McG
Blade: Trinity,"For years, Blade has fought against the vampires in the cover of the night. But now, after falling into the crosshairs of the FBI, he is forced out into the daylight, where he is driven to join forces with a clan of human vampire hunters he never knew existed - The Nightstalkers. Together with Abigail and Hannibal, two deftly trained Nightstalkers, Blade follows a trail of blood to the ancient creature that is also hunting him, the original vampire, Dracula. Science Fiction Action Horror Thriller Adventure Fantasy fbi dracula fistfight vampire_hunter superhero based_on_comic_book martial_arts_master motorcycle katana_sword blade loss_of_friend super_villain vampire_slayer fast_motion_scene female_vampire Wesley_Snipes Kris_Kristofferson Dominic_Purcell Jessica_Biel Ryan_Reynolds Parker_Posey Mark_Berry John_Michael_Higgins Callum_Keith_Rennie Paul_Michael_Lévesque Paul_Anthony Françoise_Yip Michael_Anthony_Rawlins James_Remar Natasha_Lyonne Ginger_Broatch Patton_Oswalt Eric_Bogosian Erica_Cerra Clay_Cullen David_S._Goyer"
Red Dawn,"It is the mid-1980s. From out of the sky, Soviet and Cuban troops begin landing on the football field of a Colorado high school. In seconds, the paratroops have attacked the school and sent a group of teenagers fleeing into the mountains. Armed only with hunting rifles, pistols and bows and arrows, the teens struggles to survive the bitter winter and Soviet KGB patrols hunting for them. Action Thriller guerrilla colorado invasion anti-communism near_future red_army Patrick_Swayze C._Thomas_Howell Lea_Thompson Darren_Dalton Charlie_Sheen Jennifer_Grey Brad_Savage Ben_Johnson Harry_Dean_Stanton William_Smith Powers_Boothe Ron_O'Neal Vladek_Sheybal Frank_McRae Lane_Smith Roy_Jenson Pepe_Serna Radames_Pera John_Milius"
Primary Colors,"In this adaptation of the best-selling roman à clef about Bill Clinton's 1992 run for the White House, the young and gifted Henry Burton is tapped to oversee the presidential campaign of Governor Jack Stanton. Burton is pulled into the politician's colorful world and looks on as Stanton -- who has a wandering eye that could be his downfall -- contends with his ambitious wife, Susan, and an outspoken adviser, Richard Jemmons. Comedy Drama white_house usa_president presidential_election scandal george_w._bush extramarital_affair John_Travolta Emma_Thompson Billy_Bob_Thornton Kathy_Bates Adrian_Lester Maura_Tierney Larry_Hagman Diane_Ladd Rob_Reiner Allison_Janney Mykelti_Williamson Stacy_Edwards Paul_Guilfoyle Robert_Klein Tony_Shalhoub Caroline_Aaron Chelcie_Ross Mike_Nichols"
Resident Evil: Retribution,"The Umbrella Corporation’s deadly T-virus continues to ravage the Earth, transforming the global population into legions of the flesh eating Undead. The human race’s last and only hope, Alice, awakens in the heart of Umbrella’s most clandestine operations facility and unveils more of her mysterious past as she delves further into the complex. Without a safe haven, Alice continues to hunt those responsible for the outbreak; a chase that takes her from Tokyo to New York, Washington, D.C. and Moscow, culminating in a mind-blowing revelation that will force her to rethink everything that she once thought to be true. Aided by new found allies and familiar friends, Alice must fight to survive long enough to escape a hostile world on the brink of oblivion. The countdown has begun. Action Horror Science Fiction mutant dystopia sequel conspiracy tokyo_japan zombie based_on_video_game moscow hand_to_hand_combat virus plague pandemic mega_corporation Milla_Jovovich Sienna_Guillory Michelle_Rodriguez Aryana_Engineer Li_Bingbing Boris_Kodjoe Johann_Urb Robin_Kasyanov Kevin_Durand Ofilio_Portillo Oded_Fehr Colin_Salmon Shawn_Roberts Megan_Charpentier Takato_Yamashita Mika_Nakashima Ray_Olubowale Spencer_Locke Anna_Bolt Indra_Ové Heike_Makatsch Sandrine_Holt Liz_May_Brice Thomas_Kretschmann Ali_Larter Wentworth_Miller Paul_W.S._Anderson"
Death Race,"Terminal Island, New York: 2020. Overcrowding in the US penal system has reached a breaking point. Prisons have been turned over to a monolithic Weyland Corporation, which sees jails full of thugs as an opportunity for televised sport. Adrenalized inmates, a global audience hungry for violence and a spectacular, enclosed arena come together to form the 'Death Race', the biggest, most brutal event. Action Thriller Science Fiction car_race dystopia matter_of_life_and_death prison_guard car_set_on_fire escape_from_prison exploding_building vehicle_combat car_crash violence Jason_Statham Joan_Allen Ian_McShane Tyrese_Gibson Natalie_Martinez Max_Ryan Jacob_Vargas Jason_Clarke Fred_Koehler Justin_Mader Robert_LaSardo Robin_Shou John_Fallon Paul_W.S._Anderson"
The Long Kiss Goodnight,"Samantha Caine, suburban homemaker, is the ideal mom to her 8 year old daughter Caitlin. She lives in Honesdale, PA, has a job teaching school and makes the best Rice Krispie treats in town. But when she receives a bump on her head, she begins to remember small parts of her previous life as a lethal, top-secret agent Crime Action Mystery Thriller assassination amnesia hostage chase dark_comedy teacher escape single_mother timebomb candlelight_vigil rogue_agent street_shootout ex_cia_agent christmas_parade Geena_Davis Samuel_L._Jackson Yvonne_Zima Craig_Bierko Tom_Amandes Brian_Cox Patrick_Malahide David_Morse Joseph_McKenna Melina_Kanakaredes Rex_Linn Alan_North Dan_Warry-Smith Kristen_Bone Jennifer_Pisana Renny_Harlin"
Proof of Life,"Alice hires a professional negotiator to obtain the release of her engineer husband, who has been kidnapped by anti-government guerrillas in South America. Action Adventure Drama Romance Thriller hostage new_love suspense agent Meg_Ryan Russell_Crowe David_Morse Pamela_Reed David_Caruso Flora_Martínez Anthony_Heald Gottfried_John Tony_Vázquez Taylor_Hackford"
Zathura: A Space Adventure,"After their father is called into work, two young boys, Walter and Danny, are left in the care of their teenage sister, Lisa, and told they must stay inside. Walter and Danny, who anticipate a boring day, are shocked when they begin playing Zathura, a space-themed board game, which they realize has mystical powers when their house is shot into space. With the help of an astronaut, the boys attempt to return home. Family Fantasy Science Fiction Adventure adventure house alien giant_robot outer_space astronaut Jonah_Bobo Josh_Hutcherson Dax_Shepard Kristen_Stewart Tim_Robbins Frank_Oz Derek_Mears Douglas_Tait Joe_Bucaro_III Jeff_Wolfe John_Alexander Jon_Favreau"
Fight Club,"A ticking-time-bomb insomniac and a slippery soap salesman channel primal male aggression into a shocking new form of therapy. Their concept catches on, with underground ""fight clubs"" forming in every town, until an eccentric gets in the way and ignites an out-of-control spiral toward oblivion. Drama support_group dual_identity nihilism rage_and_hate insomnia dystopia violence Edward_Norton Brad_Pitt Meat_Loaf Jared_Leto Helena_Bonham_Carter Zach_Grenier Holt_McCallany Eion_Bailey Richmond_Arquette David_Andrews Christina_Cabot Tim_DeZarn Ezra_Buzzington Bob_Stephenson David_Lee_Smith Carl_Ciarfalio Stuart_Blumberg Mark_Fite Matt_Winston Lauren_Sánchez Thom_Gossom_Jr. Markus_Redmond Van_Quattro Michael_Girardin David_Jean_Thomas Paul_Carafotes Christopher_John_Fields Michael_Shamus_Wiles George_Maguire Eugenie_Bondurant Sydney_'Big_Dawg'_Colston Rachel_Singer Christie_Cronenweth Dierdre_Downing-Jackson Charlie_Dell Rob_Lanza Joel_Bissonnette Evan_Mirand Robby_Robinson Lou_Beatty_Jr. Valerie_Bickford Peter_Iacangelo Todd_Peirce Joon_Kim Bennie_Moore Pat_McNamara Tyrone_R._Livingston Owen_Masterson Anderson_Bourell Scotch_Ellis_Loring Andi_Carnick Edward_Kowalczyk Leonard_Termo Michael_Arturo Greg_Bronson Matt_Cinquanta Tommy_Dallace Paul_Dillon Tom_Falzone Eddie_Hargitay Phil_Hawn Bruce_Holman Jawara Baron_Jay Jim_Jenkins Kevin_Scott_Mack Trey_Ore Louis_Ortiz Hugh_Peddy J.T._Pontino Chad_Randau Marcio_Rosario Gregory_Silva Brian_Tochi Alekxia_Valdez Michael_Zagst Gökhan_Öncel David_Fincher"
We Are Marshall,"When a plane crash claims the lives of members of the Marshall University football team and some of its fans, the team's new coach and his surviving players try to keep the football program alive. Drama american_football 1970s trainer college sport Matthew_McConaughey Matthew_Fox Anthony_Mackie David_Strathairn Ian_McShane Kate_Mara January_Jones Kate_Kneeland McG"
Hudson Hawk,"Eddie Hawkins, called Hudson Hawk has just been released from ten years of prison and is planning to spend the rest of his life honestly. But then the crazy Mayflower couple blackmail him to steal some of the works of Leonardo da Vinci. If he refuses, they threaten to kill his friend Tommy. Action Adventure Comedy vatican leonardo_da_vinci painting master_thief Bruce_Willis Danny_Aiello Andie_MacDowell James_Coburn Richard_E._Grant Sandra_Bernhard David_Caruso Frank_Stallone Michael_Lehmann"
Lucky Numbers,"Russ Richards is a TV weatherman and local celebrity on the verge of losing his shirt. Desperate to escape financial ruin, he schemes with Crystal the TV station's lotto ball girl to rig the state lottery drawing. The numbers come up right, but everything else goes wrong as the plan starts to unravel and the game turns rough. Action Adventure Comedy Crime Romance Thriller weather_forecast tv_station weather lottery wettermann debt woman_director John_Travolta Lisa_Kudrow Tim_Roth Ed_O'Neill Michael_Rapaport Daryl_Mitchell Bill_Pullman Richard_Schiff Michael_Moore Sam_McMurray Michael_Weston Maria_Bamford Caroline_Aaron John_F._O'Donohue Colin_Mochrie Nora_Ephron"
"I, Frankenstein","200 years after his shocking creation, Dr. Frankenstein's creature, Adam, still walks the earth. But when he finds himself in the middle of a war over the fate of humanity, Adam discovers he holds the key that could destroy humankind. Horror Thriller soul queen anti_hero fantasy prince supernatural frankenstein good_vs_evil gargoyles fighting demon dark imax 3d Aaron_Eckhart Yvonne_Strahovski Bill_Nighy Jai_Courtney Miranda_Otto Caitlin_Stasey Kevin_Grevioux Aden_Young Deniz_Akdeniz Chris_Pang Socratis_Otto Steve_Mouzakis Bruce_Spence Mahesh_Jadu John_Reynolds Goran_D._Kleut Chris_Anderson Nicholas_Bell Virginie_Le_Brun Penny_Higgs Yasca_Sinigaglia Nicole_Downs Stuart_Beattie"
Oliver Twist,"Oliver Twist the modern filmed version of Charles Dickens bestseller, a Roman Polanski adaptation. The classic Dickens tale, where an orphan meets a pickpocket on the streets of London. From there, he joins a household of boys who are trained to steal for their master. Crime Drama Family london_england child_abuse street_gang runaway child_labour children's_home orphanage thief violence good_and_bad child Barney_Clark Ben_Kingsley Jamie_Foreman Harry_Eden Edward_Hardwicke Leanne_Rowe Ian_McNeice Chris_Overton Andy_Linden Teresa_Churcher Jake_Curran Turbo Lewis_Chase Levi_Hayes Jeremy_Swift Gillian_Hanna Michael_Heath Patrick_Godfrey Mark_Strong Ophelia_Lovibond Liz_Smith Andy_de_la_Tour Richard_Durden Peter_Copley John_Nettleton Tony_Noble Gerard_Horan Morgane_Polanski Alun_Armstrong Frances_Cuka Paul_Brooke Nick_Stringer Frank_Mills Richard_Ridings Roman_Polanski"
Elektra,"Elektra the warrior survives a near-death experience, becomes an assassin-for-hire, and tries to protect her two latest targets, a single father and his young daughter, from a group of supernatural assassins. Action Fantasy martial_arts based_on_comic_book female_assassin spin_off Jennifer_Garner Goran_Visnjic Will_Yun_Lee Cary-Hiroyuki_Tagawa Terence_Stamp Natassia_Malthe Kirsten_Prout Colin_Cunningham Edson_T._Ribeiro Chris_Ackerman Bob_Sapp Mark_Houghton Hiro_Kanagawa Laura_Ward Ian_Tracey Aaron_Au Kevan_Ohtsji Kurt_Max_Runte Nathaniel_Arcand Jana_Mitsoula Rob_Bowman"
Sin City: A Dame to Kill For,Some of Sin City's most hard-boiled citizens cross paths with a few of its more reviled inhabitants. Crime Thriller detective dystopia dominatrix murder suspense twins based_on_graphic_novel dark_horse_comics neo-noir 3d Mickey_Rourke Jessica_Alba Josh_Brolin Joseph_Gordon-Levitt Rosario_Dawson Bruce_Willis Eva_Green Powers_Boothe Dennis_Haysbert Ray_Liotta Christopher_Meloni Jeremy_Piven Christopher_Lloyd Jaime_King Juno_Temple Stacy_Keach Marton_Csokas Jude_Ciccolella Jamie_Chung Lady_Gaga Alexa_PenaVega Julia_Garner Billy_Blair Patricia_Vonne Bart_Fletcher Alejandro_Rose-Garcia Samuel_Davis Mike_Davis Kimberly_Cox Alcides_Dias Vincent_Fuentes Rob_Franco Daylon_Walton Eloise_DeJoria Bob_Schreck Lawrence_Varnado Jimmy_Gonzales Tommy_Townsend Robert_Lott Gregory_Kelly Patrick_Sane Greg_Ingram Will_Beinbrink Dimitrius_Pulido John_Wirt Emmy_Robbin Luis_Albert_Acevedo_Jr. Christian_Bowman Johnny_Reno Callie_Hernandez Robert_Rodriguez
Random Hearts,After the death of their loved ones in a tragic plane crash 'Harrison Ford' and Kristin Scott Thomas find each others keys in each others loved ones posessions and realize that they were having an affair and must figure out all the details. Written by Andy HeitzThe wife of Police Sergeant Dutch Van Den Broek and the husband of politician Kay Chandler are killed in a plane crash. Now Dutch discovers some anomalies in what he told her before she left and discovers that she and Chandler's husband were travelling together. Dutch then goes to Chandler and tells her that he suspects that they were having an affair. He tells her that he wants to know the truth; she tells him that she doesn't but she later joins him and they grow close. Drama Romance infidelity politician airplane_crash death death_of_husband police_sergeant death_of_wife Harrison_Ford Kristin_Scott_Thomas Charles_S._Dutton Bonnie_Hunt Dennis_Haysbert Sydney_Pollack Richard_Jenkins Paul_Guilfoyle Susanna_Thompson Peter_Coyote Dylan_Baker Lynne_Thigpen Susan_Floyd Bill_Cobbs Kate_Mara Ariana_Thomas Nelson_Landrieu Brooke_Smith Christina_Chang Michelle_Hurd Reiko_Aylesworth Raymond_Anthony_Thomas Edie_Falco S._Epatha_Merkerson Sydney_Pollack
Everest,"Inspired by the incredible events surrounding a treacherous attempt to reach the summit of the world's highest mountain, ""Everest"" documents the awe-inspiring journey of two different expeditions challenged beyond their limits by one of the fiercest snowstorms ever encountered by mankind. Their mettle tested by the harshest of elements found on the planet, the climbers will face nearly impossible obstacles as a lifelong obsession becomes a breathtaking struggle for survival. Adventure Drama mountains snow_storm hiking climbing snow death blizzard mountain_climbing based_on_true_events mount_everest 3d Jason_Clarke Jake_Gyllenhaal Josh_Brolin John_Hawkes Sam_Worthington Robin_Wright Keira_Knightley Clive_Standen Emily_Watson Mia_Goth Michael_Kelly Martin_Henderson Elizabeth_Debicki Tom_Goodman-Hill Vanessa_Kirby Naoko_Mori Mark_Derwin Thomas_M._Wright Ingvar_Eggert_Sigurðsson Ang_Phula_Sherpa Charlotte_Bøving Pemba_Sherpa Amy_Shindler Simon_Harrison Chris_Reilly Tim_Dantay Todd_Boyce Justin_Salinger Stormur_Jón_Kormákur_Baltasarsson Demetri_Goritsas Chike_Chan Micah_A._Hauptman Nancy_Baldwin Lucy_Newman-Williams Vijay_Lama Avin_Shah Baltasar_Kormákur"
Perfume: The Story of a Murderer,"Jean-Baptiste Grenouille, born in the stench of 18th century Paris, develops a superior olfactory sense, which he uses to create the world's finest perfumes. However, his work takes a dark turn as he tries to preserve scents in the search for the ultimate perfume. Crime Fantasy Drama paris female_nudity prostitute small_town obsession orgy bad_smell nudity lone_wolf lavender nose child_prodigy fish_market daughter supernatural genius children's_home death perfume Ben_Whishaw Simon_Chandler David_Calder Richard_Felix Birgit_Minichmayr Sian_Thomas Michael_Smiley Alvaro_Roque Franck_Lefeuvre Sam_Douglas Karoline_Herfurth Timothy_Davies Dustin_Hoffman Rachel_Hurd-Wood Alan_Rickman Sara_Forestier Corinna_Harfouch Paul_Berrondo Joanna_Griffiths Jessica_Schwarz Harris_Gordon Enric_Arquimbau Andrés_Herrera John_Hurt Tom_Tykwer"
